Frente	Verso
〜は〜です	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Padrão de frase</span> <b>[A] é [B]</b> — afirmação formal<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;"><span style="color:#003d80;font-weight:bold;">私</span> <span style="color:#6a0080;font-weight:bold;">は</span> <span style="color:#b35900;font-weight:bold;">学生</span> <span style="color:#990000;font-weight:bold;">です</span><br><span style="font-size:11px;color:#555;">EU | TEMA | ESTUDANTE | É</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">ジョン</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Eu sou o João</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">今日</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">月曜日</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Hoje é segunda-feira</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#990000;font-weight:bold;">です</span> <span style="color:#b35900;font-weight:bold;">学生</span></b><br><span style="font-size:12px;color:#333;">❌ Verbo SEMPRE no final!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> 〜は = TEMA (sobre o que se fala). 〜です = verbo de ligação (é/ser). Japonês: ordem SUJEITO-OBJETO-VERBO.</div></div>
〜は〜ですか	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Padrão de frase</span> <b>[A] é [B]?</b> — pergunta formal<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;"><span style="color:#003d80;font-weight:bold;">あなた</span> <span style="color:#6a0080;font-weight:bold;">は</span> <span style="color:#b35900;font-weight:bold;">ブラジル人</span> <span style="color:#990000;font-weight:bold;">です</span> <span style="color:#6a0080;font-weight:bold;">か</span><br><span style="font-size:11px;color:#555;">VOCÊ | TEMA | BRASILEIRO | É | ?</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">これ</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#990000;font-weight:bold;">です</span><span style="color:#6a0080;font-weight:bold;">か</span></b><br><span style="font-size:12px;color:#333;">Isto é um livro?</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> か no final = pergunta. NÃO usa ? no japonês formal — usa 。(まる). Ordem da frase NÃO muda na pergunta.</div></div>
じゃないです (coloquial) ・ ではありません (formal)	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Negação</span> <b>Não é</b> — negação formal<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Tabela:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:12px;color:#111;"><tr style="background:#990000;color:white;"><th style="padding:4px;">Uso</th><th style="padding:4px;">Forma</th><th style="padding:4px;">Nível</th></tr><tr><td style="padding:4px;border:1px solid #999;">Conversa</td><td style="padding:4px;border:1px solid #999;font-weight:bold;">じゃないです</td><td style="padding:4px;border:1px solid #999;">🗣️ Coloquial (fala)</td></tr><tr><td style="padding:4px;border:1px solid #999;">Escrita</td><td style="padding:4px;border:1px solid #999;font-weight:bold;">ではありません</td><td style="padding:4px;border:1px solid #999;">📝 Formal (escrita)</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">学生</span><span style="color:#990000;font-weight:bold;">じゃないです</span></b><br><span style="font-size:12px;color:#333;">Não sou estudante (fala)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">これ</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#990000;font-weight:bold;">ではありません</span></b><br><span style="font-size:12px;color:#333;">Não é um livro (escrito)</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#990000;font-weight:bold;">じゃない</span> <span style="color:#b35900;font-weight:bold;">学生</span></b><br><span style="font-size:12px;color:#333;">❌ じゃない DEPOIS do substantivo!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> じゃない é forma curta. Para escrita formal: ではありません. Ambos = NÃO É.</div></div>
は (partícula de tema)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula</span> <b>TEMA da frase</b> — "sobre o que estamos falando?"<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Posição na frase:</b><br><span style="font-size:14px;"><span style="color:#003d80;font-weight:bold;">私</span> <span style="background:#6a0080;color:white;padding:3px 8px;border-radius:3px;">は</span> <span style="color:#b35900;font-weight:bold;">学生</span> <span style="color:#990000;font-weight:bold;">です</span><br><span style="font-size:11px;color:#555;">TEMA → o resto DESCREVE o tema</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">日本語</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">難しい</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Japonês é difícil (tema=japonês)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">彼</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#003d80;font-weight:bold;">足</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#b35900;font-weight:bold;">速い</span></b><br><span style="font-size:12px;color:#333;">Ele tem pernas rápidas (tema=ele)</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> は ≠ sujeito gramatical! É o TEMA. No início: use は para 'fulano é X'. Depois aprenderá que が = sujeito/foco.</div></div>
が (partícula de sujeito/foco)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula</span> <b>SUJEITO / FOCO</b> — QUEM ou O QUE (ênfase)<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 は vs が:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:12px;color:#111;"><tr style="background:#6a0080;color:white;"><th style="padding:4px;">は (TEMA)</th><th style="padding:4px;">が (FOCO)</th></tr><tr><td style="padding:4px;border:1px solid #999;">Sobre o que falo</td><td style="padding:4px;border:1px solid #999;">Quem/o que faz a ação</td></tr><tr><td style="padding:4px;border:1px solid #999;">Informação JÁ CONHECIDA</td><td style="padding:4px;border:1px solid #999;">Informação NOVA / FOCO</td></tr><tr><td style="padding:4px;border:1px solid #999;">私はジョンです</td><td style="padding:4px;border:1px solid #999;">私がジョンです (EU sou)</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">誰</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">来ました</span><span style="color:#6a0080;font-weight:bold;">か</span></b><br><span style="font-size:12px;color:#333;">Quem veio? (foco em QUEM)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">猫</span><span style="color:#6a0080;font-weight:bold;">が</span><span style="color:#990000;font-weight:bold;">います</span></b><br><span style="font-size:12px;color:#333;">Há um gato (foco no gato, aparece do nada)</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> SEMPRE use が com 好き/嫌い (〜が好き). が aparece em perguntas (誰が、何が) e com verbos de existência (いる/ある).</div></div>
を (partícula de objeto)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula</span> <b>OBJETO DIRETO</b> — o que SOFRE a ação<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;"><span style="color:#003d80;font-weight:bold;">私</span> <span style="color:#6a0080;font-weight:bold;">は</span> <span style="color:#005a1e;font-weight:bold;">パン</span> <span style="background:#6a0080;color:white;padding:3px 8px;border-radius:3px;">を</span> <span style="color:#990000;font-weight:bold;">食べる</span><br><span style="font-size:11px;color:#555;">EU | TEMA | PÃO | OBJETO | COMER</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">水</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">飲む</span></b><br><span style="font-size:12px;color:#333;">Bebo água</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">手紙</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">書く</span></b><br><span style="font-size:12px;color:#333;">Escrever carta</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#990000;font-weight:bold;">食べる</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#005a1e;font-weight:bold;">パン</span></b><br><span style="font-size:12px;color:#333;">❌ Verbo SEMPRE no final!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> を = objeto da ação. Ordem: SUJEITO は OBJETO を VERBO. Sempre entre OBJETO e VERBO.</div></div>
の (partícula de posse)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula</span> <b>POSSE</b> <span style="color:#888;">(o "de" em português)</span> — possui 3 usos<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Estrutura:</b><br><span style="font-size:14px;"><span style="color:#b35900;font-weight:bold;">ジョン</span> <span style="background:#6a0080;color:white;padding:3px 8px;border-radius:3px;">の</span> <span style="color:#005a1e;font-weight:bold;">車</span><br><span style="font-size:11px;color:#555;">POSSUIDOR | DE | COISA</span></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">の</span><span style="color:#005a1e;font-weight:bold;">本</span></b><br><span style="font-size:12px;color:#333;">Meu livro (posse: livro de mim)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">東京</span><span style="color:#6a0080;font-weight:bold;">の</span><span style="color:#005a1e;font-weight:bold;">天気</span></b><br><span style="font-size:12px;color:#333;">Tempo de Tóquio (atributo)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">日本語</span><span style="color:#6a0080;font-weight:bold;">の</span><span style="color:#005a1e;font-weight:bold;">先生</span></b><br><span style="font-size:12px;color:#333;">Professor de japonês (categoria)</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Três usos: 1-POSSE (私の本), 2-ATRIBUTO (東京の人), 3-CATEGORIA (日本語の先生). Partícula mais VERSÁTIL do japonês.</div></div>
も (partícula também)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula</span> <b>TAMBÉM</b> — substitui は, が, を<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Regra:</b><br><span style="font-size:14px;">も <b>SUBSTITUI</b> は/が/を<br>✅ 私は学生 → 私<b>も</b>学生 (também sou estudante)<br>✅ XもYも = tanto X quanto Y</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">彼</span><span style="color:#6a0080;font-weight:bold;">も</span><span style="color:#b35900;font-weight:bold;">医者</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Ele também é médico</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">も</span><span style="color:#005a1e;font-weight:bold;">パン</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">食べます</span></b><br><span style="font-size:12px;color:#333;">Eu também como pão</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#6a0080;font-weight:bold;">も</span><span style="color:#6a0080;font-weight:bold;">は</span></b><br><span style="font-size:12px;color:#333;">❌ も e は NÃO ficam juntos!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> も substitui は/が/を, mas JUNTA-SE com outras partículas: にも, でも, へも, とも.</div></div>
で (local da ação ・ ferramenta)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula</span> <b>EM</b> <span style="color:#888;">ou</span> <b>COM</b> — local da ação OU ferramenta<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Dois usos:</b><br><span style="font-size:14px;"><b style="color:#b35900;">📍 Local da ação:</b> <span style="color:#b35900;font-weight:bold;">図書館</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#990000;font-weight:bold;">勉強する</span> (estudar NA biblioteca)<br><b style="color:#b35900;">🔧 Ferramenta:</b> <span style="color:#b35900;font-weight:bold;">箸</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#990000;font-weight:bold;">食べる</span> (comer COM hashi)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">家</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#990000;font-weight:bold;">寝ます</span></b><br><span style="font-size:12px;color:#333;">Durmo EM casa</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">手紙</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#b35900;font-weight:bold;">ペン</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#990000;font-weight:bold;">書く</span></b><br><span style="font-size:12px;color:#333;">Escrever carta COM caneta</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#b35900;font-weight:bold;">図書館</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">勉強する</span></b><br><span style="font-size:12px;color:#333;">❌ に = destino, não local de ação!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> で = onde a AÇÃO acontece / COM O QUE se faz. NÃO confundir com に (destino).</div></div>
に ・ へ (direção)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula</span> <b>PARA</b> <span style="color:#888;">(em direção a)</span> — destino<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Comparação:</b><br><span style="font-size:14px;"><b style="color:#6a0080;">に</b> = mais comum e VERSÁTIL (direção + tempo + existência)<br><b style="color:#6a0080;">へ</b> = APENAS direção (mais poético/literário)<br><span style="color:#003d80;font-weight:bold;">彼</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">東京</span><span style="color:#6a0080;font-weight:bold;">に/へ</span><span style="color:#990000;font-weight:bold;">行く</span> (ir para Tóquio)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">彼</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">学校</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">来ました</span></b><br><span style="font-size:12px;color:#333;">Ele veio para a escola</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">友達</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">日本</span><span style="color:#6a0080;font-weight:bold;">へ</span><span style="color:#990000;font-weight:bold;">行った</span></b><br><span style="font-size:12px;color:#333;">O amigo foi para o Japão</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> に e へ = praticamente iguais para direção. Prefira に (mais comum). へ é usado APENAS para direção.</div></div>
